 PATAMAR DE DEFICIT
 NUMERO DE PATAMARES DE DEFICIT
 XXX
   1
 CUSTO DO DEFICIT
 NUM|NOME SSIS.|    CUSTO DE DEFICIT POR PATAMAR  | P.U. CORTE POR PATAMAR|
 XXX|XXXXXXXXXX| F|XXXX.XX XXXX.XX XXXX.XX XXXX.XX|X.XXX X.XXX X.XXX X.XXX|
 1   SUDESTE     0 8103.95 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 2   SUL         0 8103.95 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 3   NORDESTE    0 8103.95 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 4   NORTE       0 8103.95 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 11  NOFICT1     1
 999
 LIMITES DE INTERCAMBIO
 A   B   A->B    B->A
 XXX XXX XJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1   2               0
2023                                                                                            11499.
2024    11633.  11828.  11846.  11820.  11845.  11850.  11816.  11831.  11835.  11816.  12043.  12041.
2025    12033.  12032.  12048.  12050.  12047.  12050.  12031.  12047.  12033.  12031.  12043.  12033.
2026    12041.  12040.  12033.  12050.  12055.  12042.  12861.  12852.  12855.  12852.  12854.  12860.
2027    12851.  12856.  12860.  12855.  12847.  12860.  12856.  12856.  12855.  13336.  13368.  13413.
  
2023                                                                                             7000.
2024     6275.   6796.   6846.   6775.   6846.   6859.   6767.   6807.   6816.   6765.   6822.   6809.
2025     6773.   6767.   6846.   6857.   6846.   6859.   6767.   6846.   6775.   6765.   6822.   6773.
2026     6809.   6808.   6773.   6857.   6886.   6818.   6967.   7046.   7016.   7044.   7022.   6973.
2027     7046.   7008.   6973.   7016.   7086.   6978.   7007.   7007.   7016.   7084.   7022.   6936.
   1  11               0
2023                                                                                             5000.
2024     5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.
2025     5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.
2026     5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.
2027     5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.   5000.
  
2023                                                                                             3624.
2024     2266.   4464.   4460.   4466.   4860.   4859.   4867.   4863.   4862.   4867.   4462.   4463.
2025     4466.   4466.   4460.   4459.   4860.   4859.   4867.   4860.   4866.   4867.   4462.   4466.
2026     4463.   4463.   4466.   4459.   4857.   4862.   4867.   4860.   4862.   4860.   4462.   4466.
2027     4460.   4463.   4466.   4462.   4857.   4866.   4863.   4863.   4862.   4857.   4462.   4469.
   3  11               0
2023                                                                                             4800.
2024     4800.   6400.   6400.   6400.   6400.   6739.   6743.   6741.   6747.   6749.   6750.   6751.
2025     6753.   6754.   6748.   6744.   6740.   6739.   7000.   7000.   7000.   7000.   7000.   7000.
2026     7000.   7000.   7000.   7000.   7000.   7000.   7000.   7000.   7000.   7000.   7000.   7000.
2027     7000.   7000.   7000.   7000.   7000.   7000.   7000.   7000.   7000.   7000.   7000.   7000.
  
2023                                                                                             7800.
2024     7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.
2025     7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.
2026     7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.
2027     7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.   7800.
   4  11               0
2023                                                                                            99999.
2024    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.
2025    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.
2026    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.
2027    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.
  
2023                                                                                            99999.
2024    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.
2025    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.
2026    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.
2027    99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.
   1   3               0
2023                                                                                             4700.
2024     4700.   4700.   4700.   4700.   4700.   6000.   6000.   6000.   6000.   6000.   6000.   6000.
2025     6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.
2026     6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.
2027     6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.   6000.
  
2023                                                                                             5644.
2024     4451.   7200.   7200.   7200.   7200.   7978.   7987.   7983.   7993.   7999.   8000.   8002.
2025     8006.   8007.   7997.   7989.   7979.   7978.   9036.   9038.   9042.   9042.   9047.   9046.
2026     9047.   9047.   9046.   9044.   9040.   9038.   9036.   9038.   9043.   9044.   9047.   9046.
2027     9048.   9047.   9046.   9043.   9040.   9036.   9037.   9037.   9043.   9645.   9647.   9646.
   1   4               0
2023                                                                                             4200.
2024     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2025     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2026     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2027     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
  
2023                                                                                             4746.
2024     7534.   8000.   8000.   8000.   8000.   8000.   6608.   5604.   5617.   5624.   6625.   7627.
2025     8000.   8000.   8000.   8000.   8000.   8000.   6608.   5599.   5622.   5624.   6625.   7633.
2026     8000.   8000.   8000.   8000.   8000.   8000.   6608.   5599.   5617.   5613.   6625.   7633.
2027     8000.   8000.   8000.   8000.   8000.   8000.   6604.   5604.   5617.   5608.   6625.   7639.
 999
 MERCADO DE ENERGIA TOTAL
 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1
2023                                                                                            42723.
2024    44665.  43621.  43962.  41220.  39672.  39098.  38984.  39577.  41656.  42293.  41776.  41895.
2025    45067.  45774.  44829.  42613.  41011.  40418.  40302.  40921.  43063.  43720.  43183.  43309.
2026    46499.  46532.  46889.  43973.  42317.  41705.  41587.  42232.  44437.  45112.  44557.  44688.
2027    47994.  48032.  48396.  45391.  43680.  43048.  42928.  43601.  45869.  46564.  45990.  46128.
POS     47994.  48032.  48396.  45391.  43680.  43048.  42928.  43601.  45869.  46564.  45990.  46128.
   2
2023                                                                                            12429.
2024    13481.  13593.  13109.  12025.  11653.  11838.  11903.  11824.  11874.  12146.  12602.  12902.
2025    14007.  14292.  13377.  12450.  12063.  12251.  12320.  12242.  12292.  12576.  13050.  13361.
2026    14509.  14578.  14061.  12897.  12492.  12684.  12757.  12681.  12731.  13027.  13520.  13842.
2027    15048.  15120.  14583.  13377.  12953.  13149.  13226.  13152.  13202.  13511.  14025.  14358.
POS     15048.  15120.  14583.  13377.  12953.  13149.  13226.  13152.  13202.  13511.  14025.  14358.
   3
2023                                                                                            12778.
2024    13079.  12412.  12118.  11802.  11640.  11318.  11378.  11641.  12114.  12747.  12715.  12644.
2025    12782.  13068.  12391.  12239.  12070.  11736.  11799.  12074.  12566.  13220.  13187.  13113.
2026    13325.  13420.  13104.  12759.  12582.  12234.  12300.  12589.  13102.  13783.  13749.  13670.
2027    13840.  13939.  13612.  13252.  13068.  12705.  12775.  13077.  13611.  14316.  14281.  14199.
POS     13840.  13939.  13612.  13252.  13068.  12705.  12775.  13077.  13611.  14316.  14281.  14199.
   4
2023                                                                                             7307.
2024     7200.   7175.   7150.   7064.   7140.   7152.   7161.   7459.   7613.   7589.   7475.   7310.
2025     7266.   7448.   7419.   7326.   7401.   7410.   7417.   7723.   7879.   7850.   7727.   7571.
2026     7698.   7892.   7861.   7762.   7843.   7853.   7860.   8187.   8353.   8321.   8190.   8023.
2027     7918.   8119.   8087.   7985.   8068.   8079.   8087.   8424.   8596.   8562.   8426.   8254.
