dates,SE,S,NE,N
1938-10-01,21792.98,4945.98,2697.87,2142.0299999999997
1938-11-01,26628.6,4816.35,4006.1,3908.7
1938-12-01,46213.32,3086.52,8768.77,6618.57
1939-01-01,65531.96,3922.62,15002.87,20276.629999999997
1939-02-01,67736.9,4724.02,17168.24,25469.350000000002
1939-03-01,45782.54,9088.220000000001,15792.22,23890.53
1939-04-01,40890.77,5843.65,6528.16,23787.75
1939-05-01,32635.94,11297.98,4800.92,15550.36
1939-06-01,23987.21,8290.09,3847.07,9309.29
1939-07-01,18699.6,7342.4,3310.25,5882.82
1939-08-01,14953.75,4312.4800000000005,3113.68,3553.55
1939-09-01,13482.36,9969.05,2895.73,2335.73
1939-10-01,15941.58,5947.13,3745.47,3134.3600000000006
1939-11-01,28870.269999999997,14608.39,3211.67,5029.91
1939-12-01,44888.32,20680.7,5097.33,8763.69
1940-01-01,66490.03,10353.369999999999,9516.23,17264.079999999998
1940-02-01,89649.68,7256.18,14447.08,30064.51
1940-03-01,85913.52,4142.7699999999995,20003.41,36577.51
1940-04-01,53561.51,8077.05,14554.97,33073.17
1940-05-01,40768.83,8264.2,6256.57,24154.42
1940-06-01,30206.69,5459.33,4443.42,16632.64
1940-07-01,23903.28,6097.0199999999995,3549.11,6978.25
1940-08-01,20442.000000000004,8066.72,3182.74,4183.55
1940-09-01,18179.379999999997,4720.93,2632.05,2910.91
1940-10-01,18052.329999999998,7445.44,2807.61,2958.56
1940-11-01,35908.86,4265.75,5816.74,5811.710000000001
1940-12-01,42532.52,6400.629999999999,12194.34,9900.18
1941-01-01,57650.43000000001,6505.98,14324.13,15737.449999999999
1941-02-01,51866.28999999999,12139.7,14191.35,18100.48
1941-03-01,55641.29,7194.64,14649.78,24347.519999999997
1941-04-01,50832.81,7850.719999999999,14601.47,27746.57
1941-05-01,32485.979999999996,16939.0,9225.61,17593.07
1941-06-01,25661.9,12523.32,5085.47,9066.699999999999
1941-07-01,21683.670000000002,8446.4,4250.46,4576.54
1941-08-01,19838.41,16893.97,3845.79,2938.96
1941-09-01,21718.18,9580.96,3071.9,2029.5100000000002
1941-10-01,27432.91,9466.970000000001,3255.45,3132.86
1941-11-01,34135.159999999996,12082.29,4913.88,6078.780000000001
1941-12-01,49649.07,9282.619999999999,7124.42,10358.73
1942-01-01,56064.78,4548.35,13905.42,13205.52
1942-02-01,66572.96,10318.82,14116.2,22471.96
1942-03-01,78247.7,8007.25,15239.49,29413.86
1942-04-01,60958.78,10552.119999999999,10873.28,23886.000000000004
1942-05-01,43483.85,11074.8,7064.13,18120.36
1942-06-01,40693.1,8935.83,4666.0,10683.27
1942-07-01,30709.03,8408.6,3910.26,5924.2300000000005
1942-08-01,21317.739999999998,7889.76,3410.74,3484.0299999999997
1942-09-01,21130.489999999998,6310.700000000001,3057.23,2433.99
1942-10-01,23646.020000000004,7575.49,3946.83,3828.37
1942-11-01,32224.87,2986.04,6664.5,6996.25
1942-12-01,47658.270000000004,2261.05,16527.82,14495.95
1943-01-01,89964.96999999999,2067.49,18836.13,33281.92
1943-02-01,85831.06,3469.25,26636.0,40560.56
1943-03-01,84474.35,2611.59,25142.13,38484.060000000005
1943-04-01,56057.28999999999,1684.37,16160.41,27940.73
1943-05-01,38228.69,3233.95,8956.92,20769.72
1943-06-01,31818.8,11293.189999999999,6318.95,10433.33
1943-07-01,23883.450000000004,7885.65,5310.99,6624.32
1943-08-01,18831.14,12915.5,4516.61,4532.68
1943-09-01,17245.13,10917.550000000001,3892.79,2699.33
1943-10-01,27124.700000000004,8299.12,4015.55,3456.68
1943-11-01,38913.37,5087.58,6515.95,6475.35
1943-12-01,49321.990000000005,2921.65,16226.8,13456.170000000002
1944-01-01,45928.71,6165.5599999999995,18751.85,16056.720000000001
1944-02-01,61812.9,3398.93,15209.61,22173.73
1944-03-01,68056.47,6796.74,14936.4,25082.27
1944-04-01,46742.63999999999,3083.54,11677.67,27205.43
1944-05-01,31565.18,1592.06,7791.69,21153.13
1944-06-01,23490.100000000002,2837.2999999999997,5222.28,10748.55
1944-07-01,18853.229999999996,2641.82,4398.26,5225.7
1944-08-01,15139.17,1391.68,3851.94,3104.0
1944-09-01,13031.41,2522.3199999999997,3325.73,2156.91
1944-10-01,14702.9,2470.4700000000003,2949.13,2140.7
1944-11-01,28578.670000000006,4457.09,5050.98,4774.42
1944-12-01,35214.00000000001,3197.04,12038.47,9559.439999999999
1945-01-01,52341.93,1248.9,18223.92,21950.530000000002
1945-02-01,86344.89,2968.96,20664.9,32887.03
1945-03-01,79995.16,3534.0699999999997,23667.1,30136.130000000005
1945-04-01,78403.94,1739.21,22815.72,35725.060000000005
1945-05-01,46712.340000000004,1330.6200000000001,25954.63,29952.370000000003
1945-06-01,32578.04,2105.44,13099.15,21051.420000000002
1945-07-01,28283.68,6591.089999999999,7883.96,7125.04
1945-08-01,19223.7,4027.59,6358.34,4434.12
1945-09-01,16921.86,4035.21,5171.13,3193.4700000000003
1945-10-01,20722.480000000003,4372.66,5648.94,4447.46
1945-11-01,35956.67,2890.2200000000003,9566.88,8117.22
1945-12-01,68217.47,3217.91,17051.86,13647.970000000001
1946-01-01,91002.65000000001,8869.66,20706.15,17963.4
1946-02-01,76355.57,20688.25,30652.52,22641.32
1946-03-01,85735.95,13964.91,13938.68,25764.79
1946-04-01,59917.44,5856.45,16252.89,20526.64
1946-05-01,41106.47,5732.34,11157.3,16645.82
1946-06-01,34377.479999999996,9719.529999999999,7422.89,9178.230000000001
1946-07-01,33066.1,16892.9,6002.85,6819.46
1946-08-01,22519.67,6655.139999999999,5202.03,4179.9
1946-09-01,18321.489999999998,5662.77,4440.31,2571.9500000000003
1946-10-01,23117.260000000002,10423.65,4582.62,1577.08
1946-11-01,27732.11,6483.04,6328.26,3289.03
1946-12-01,38020.25,8490.49,11589.38,5443.55
1947-01-01,64667.36999999999,6651.4,11003.1,13276.07
